0000_0000_0000_0000_0000_0000_0000_0000		//	29'd0 :	answer = 32'd0;	 
0000_0000_0000_0000_0000_0000_0000_0001   //	29'd1 :	answer = 32'd1;	 
0000_0000_0000_0000_0000_0000_0000_0001   //	29'd2 :	answer = 32'd1;	 
0000_0000_0000_0000_0000_0000_0000_0010   //	29'd3 :	answer = 32'd2;  
0000_0000_0000_0000_0000_0000_0000_0011   //	29'd4 :	answer = 32'd3;  
0000_0000_0000_0000_0000_0000_0000_0101   //	29'd5 :	answer = 32'd5;  
0000_0000_0000_0000_0000_0000_0000_1000   //	29'd6 :	answer = 32'd8;  
0000_0000_0000_0000_0000_0000_0000_1101   //	29'd7 :	answer = 32'd13; 
0000_0000_0000_0000_0000_0000_0001_0101   //	29'd8 :	answer = 32'd21; 
0000_0000_0000_0000_0000_0000_0010_0010   //	29'd9 :	answer = 32'd34; 
0000_0000_0000_0000_0000_0000_0011_0111   //	29'd10:	answer = 32'd55; 
0000_0000_0000_0000_0000_0000_0101_1001   //	29'd11:	answer = 32'd89; 
0000_0000_0000_0000_0000_0000_1001_0000   //	29'd12:	answer = 32'd144;
0000_0000_0000_0000_0000_0000_1110_1001   //	29'd13:	answer = 32'd233;
0000_0000_0000_0000_0000_0001_0111_1001   //	29'd14:	answer = 32'd377;
0000_0000_0000_0000_0000_0010_0110_0010   //	29'd15:	answer = 32'd610;
0000_0000_0000_0000_0000_0010_0110_0010   //	29'd16:	answer = 32'd610;
0000_0000_0000_0000_0000_0001_0111_1001   //	29'd17:	answer = 32'd377;
0000_0000_0000_0000_0000_0000_1110_1001   //	29'd18:	answer = 32'd233;
0000_0000_0000_0000_0000_0000_1001_0000   //	29'd19:	answer = 32'd144;
0000_0000_0000_0000_0000_0000_0101_1001   //	29'd20:	answer = 32'd89; 
0000_0000_0000_0000_0000_0000_0011_0111   //	29'd21:	answer = 32'd55; 
0000_0000_0000_0000_0000_0000_0010_0010   //	29'd22:	answer = 32'd34; 
0000_0000_0000_0000_0000_0000_0001_0101   //	29'd23:	answer = 32'd21; 
0000_0000_0000_0000_0000_0000_0000_1101   //	29'd24:	answer = 32'd13; 
0000_0000_0000_0000_0000_0000_0000_1000   //	29'd25:	answer = 32'd8;  
0000_0000_0000_0000_0000_0000_0000_0101   //	29'd26:	answer = 32'd5;  
0000_0000_0000_0000_0000_0000_0000_0011   //	29'd27:	answer = 32'd3;  
0000_0000_0000_0000_0000_0000_0000_0010   //	29'd28:	answer = 32'd2;  
0000_0000_0000_0000_0000_0000_0000_0001   //	29'd29:	answer = 32'd1;  
0000_0000_0000_0000_0000_0000_0000_0001   //	29'd30:	answer = 32'd1;  
0000_0000_0000_0000_0000_0000_0000_0000   //	29'd31:	answer = 32'd0;  
